,weights,cvar,tracking_error,turnover,n_positions,status
2016-06-30,"[ 3.34321210e-02, 5.43740899e-08, 1.59688977e-02, 1.11903974e-02,
  1.24394683e-02, 4.37374319e-04, 2.12921957e-02,-3.15474166e-07,
  7.50302587e-03, 3.63363750e-02, 2.99623687e-02, 1.40039566e-02,
  3.24501180e-02, 1.24901184e-02, 1.54718662e-02, 4.70221344e-02,
  3.92003827e-03, 1.97400040e-02, 1.13273050e-02, 5.00000567e-02,
  1.75450424e-02, 8.18283020e-03, 2.94415078e-03, 3.97557866e-02,
  2.53918044e-02, 1.11382600e-02, 2.20324528e-02, 1.61279860e-02,
  5.05789953e-03, 9.07064053e-03, 1.85960764e-02, 4.15190481e-02,
  5.61320797e-03, 4.37783585e-02, 1.47943769e-02, 1.96715206e-02,
  9.75098691e-03, 1.44846898e-02,-4.27602798e-08, 2.69122119e-02,
  1.61917387e-02, 3.05116944e-02, 3.53956160e-02, 1.19620284e-03,
 -1.80161844e-07,-5.55075930e-08, 7.32531178e-03, 2.35934693e-02,
  1.40853719e-02, 1.48228430e-02, 7.46182956e-03, 1.28820559e-02,
  1.11278902e-02, 3.24926170e-03, 2.35274666e-03, 1.70829440e-02,
  4.42970418e-02,-5.77801907e-08, 1.39014866e-02, 1.71679461e-02]",0.0012876223639996932,0.0012156098382440292,0.10951929284959883,53,optimal
2016-09-30,"[ 3.34321643e-02, 1.30064725e-02, 1.59692791e-02, 8.90468848e-03,
  1.24396881e-02, 6.50508643e-03, 2.12925736e-02,-8.56587303e-08,
  7.50308515e-03, 3.63357600e-02, 2.99625317e-02, 1.40040999e-02,
  3.70286541e-02, 1.24903057e-02, 7.65812565e-08, 2.36985072e-02,
  3.91950733e-03, 2.30922964e-02, 1.13274877e-02, 5.00000030e-02,
  1.75443716e-02, 5.14967807e-03, 5.02650531e-03, 3.26808138e-02,
  2.53919356e-02, 1.11383661e-02, 2.20327374e-02, 1.68908346e-02,
  2.64312894e-03, 1.46827077e-02, 1.41726048e-02, 3.98294520e-02,
  5.61369805e-03, 4.37783289e-02, 1.47944676e-02, 3.01104291e-02,
  9.75143051e-03, 1.44846304e-02,-2.23127354e-08, 2.69120025e-02,
  1.61916856e-02, 2.96614716e-02, 3.53958755e-02, 1.19571433e-03,
  4.87104952e-03,-2.20197970e-07, 7.32537960e-03, 2.56705883e-02,
  1.40856279e-02, 1.48227972e-02, 1.93287170e-02, 4.22505659e-07,
  1.25683191e-02, 4.67189251e-03, 4.98690918e-03, 2.67716827e-02,
  3.78429090e-02,-9.99525965e-08, 1.39013489e-02, 1.71676438e-02]",0.0013030441132875572,0.0011632413477363091,0.15981295320072816,54,optimal
2016-12-30,"[ 3.34328589e-02, 1.30068152e-02, 1.88519898e-02, 1.04134750e-02,
  1.32415576e-02, 1.31896690e-02, 2.12922622e-02, 1.96505552e-07,
  7.50318584e-03, 4.19448847e-02, 2.09112960e-02, 1.11685241e-02,
  5.00002863e-02, 1.10304256e-02,-2.33732188e-07, 1.36927539e-02,
  3.91906856e-03, 2.30926148e-02, 8.94638614e-03, 5.00002260e-02,
  1.75442258e-02, 8.45833457e-03, 3.66002803e-03, 3.16805745e-02,
  2.53919092e-02, 1.11386232e-02, 2.20330158e-02, 1.81262883e-02,
  2.64332496e-03, 1.44348734e-02, 1.41726500e-02, 2.03863229e-02,
  5.61361352e-03, 3.68691664e-02, 1.47945181e-02, 3.01108861e-02,
  4.93157068e-03, 1.44846664e-02, 4.08825262e-08, 2.69115428e-02,
  1.61915126e-02, 3.03771057e-02, 4.34354468e-02, 1.12350426e-02,
  4.87150096e-03, 6.41681935e-03, 1.63093985e-02, 2.56705059e-02,
  1.40854665e-02, 6.76863329e-03, 1.93288052e-02, 2.78317002e-07,
  2.28238962e-02, 5.22931893e-03, 4.98723765e-03, 2.67722249e-02,
  4.09012859e-02,-3.17152361e-08, 1.11422972e-02, 4.42883804e-03]",0.0013307614736727794,0.0011612454757732851,0.16614922049752887,55,optimal
2017-03-31,"[ 3.32217854e-02, 8.04736754e-03, 1.88531728e-02, 2.95338450e-03,
  1.32419917e-02, 1.31900927e-02, 2.12929801e-02, 2.69874151e-03,
  7.50313235e-03, 1.85861872e-02, 2.09113358e-02, 1.11691105e-02,
  5.00004664e-02, 2.93862453e-02, 1.68940983e-07, 1.23648780e-02,
  2.92913098e-02, 4.07887277e-02, 8.94589173e-03, 3.43713392e-02,
  2.05175928e-02, 1.69968558e-02, 2.29248904e-02, 1.28386054e-02,
  7.39588687e-03, 1.11388495e-02, 1.99859999e-02, 1.81269710e-02,
  4.22310802e-04, 1.44349433e-02, 1.41732775e-02, 1.64528307e-02,
  9.63473828e-03, 3.68693864e-02, 1.47947874e-02, 2.47684284e-02,
  2.82132799e-03, 1.44845956e-02, 7.53828145e-08, 2.69110982e-02,
  2.37623244e-02, 3.03773496e-02, 5.00017831e-02,-1.80497926e-07,
  4.87216086e-03, 6.41704258e-03, 1.63095562e-02, 4.45206713e-03,
  1.40854500e-02, 6.76866008e-03, 3.79832926e-02, 9.90370812e-08,
  4.76019094e-03, 1.91256030e-03, 3.11859632e-02, 2.67724974e-02,
  3.16572059e-02, 1.96480037e-03, 1.11422300e-02, 1.30631805e-02]",0.0011305618607963498,0.0009593678920162303,0.3370356302521476,55,optimal
2017-06-30,"[ 3.32223564e-02, 8.04770396e-03, 1.88534093e-02, 4.40244092e-03,
  1.32424340e-02, 1.31905180e-02, 2.12933085e-02, 5.11821870e-03,
 -2.32568658e-07, 1.85858241e-02, 2.09108365e-02, 5.94410834e-03,
  5.00001604e-02, 2.93866752e-02, 1.62784216e-07, 1.15070534e-02,
  2.92907603e-02, 4.07881216e-02, 8.94485865e-03, 3.43709491e-02,
  1.66656392e-02, 1.45738421e-02, 2.29242589e-02, 1.28378036e-02,
  7.39498006e-03, 1.11391220e-02, 1.76307990e-02, 2.50432360e-02,
  1.47218443e-03, 1.44346894e-02, 1.75992886e-02, 1.57942159e-02,
  9.63462263e-03, 3.68689084e-02, 2.13115948e-02, 2.47684873e-02,
  4.39734490e-07, 1.55292794e-02, 4.66264014e-03, 2.69105137e-02,
  3.25542234e-02, 2.90800350e-02, 4.81640125e-02, 9.58121121e-04,
  4.87261625e-03, 6.41738516e-03, 1.63094028e-02, 1.06698750e-02,
  7.18882599e-03,-1.15473076e-07, 3.45403690e-02, 9.81846480e-08,
  4.75937026e-03, 1.27381476e-03, 3.11857654e-02, 1.97097264e-02,
  3.16562500e-02, 1.12616965e-02, 1.11419330e-02, 1.39603848e-02]",0.0011987077423681054,0.0010083880839286661,0.10730148625227844,54,optimal
2017-09-29,"[ 2.93058444e-02, 9.22998515e-03, 1.88531892e-02, 4.40195259e-03,
  1.32424823e-02, 1.31905451e-02, 2.12932570e-02, 5.11656117e-03,
 -1.91472907e-07, 1.79438955e-02, 2.09107603e-02, 1.10350662e-07,
  4.99997523e-02, 2.93869985e-02, 8.44424862e-08, 1.24800344e-02,
  2.92893353e-02, 4.07878738e-02, 1.10587313e-02, 3.43704579e-02,
  1.66652076e-02, 1.53668750e-02, 2.16677728e-02, 1.28376109e-02,
  7.39491080e-03, 1.11391922e-02, 1.76310383e-02, 2.68240146e-02,
  1.47218265e-03, 1.59896105e-02, 1.51630304e-02, 1.57941987e-02,
  9.63473382e-03, 3.68692126e-02, 2.37880701e-02, 2.47683266e-02,
  4.78749796e-08, 1.55293908e-02, 1.13388615e-02, 2.69099338e-02,
  3.25543662e-02, 2.75874943e-02, 4.81643324e-02, 1.94729418e-03,
  4.87295756e-03, 6.73046704e-03, 7.75203187e-03, 1.87642939e-02,
  7.18863484e-03,-1.71039338e-08, 3.45394823e-02, 7.52424674e-08,
  4.75841115e-03, 2.02771892e-03, 3.11855554e-02, 1.66745763e-02,
  3.16554769e-02, 8.26121776e-03, 1.11411786e-02, 1.65485721e-02]",0.001321621691397642,0.001040627241032927,0.060583017771464236,54,optimal
2017-12-29,"[ 2.93058464e-02, 1.22374196e-02, 1.88532256e-02, 4.40171949e-03,
  1.32423447e-02, 1.31904630e-02, 1.77710465e-02, 5.11627029e-03,
 -8.53658916e-08, 2.45620620e-08, 2.09108015e-02, 2.87051340e-08,
  4.88636933e-02, 2.93870324e-02, 5.19807086e-08, 1.24798587e-02,
  2.82876072e-02, 4.84143013e-02, 1.60768571e-02, 3.43703320e-02,
  1.44567807e-02, 1.65844620e-02, 2.16678224e-02, 1.28377658e-02,
 -8.97464529e-08, 1.11392110e-02, 1.76310556e-02, 3.42393249e-02,
  1.68030921e-02, 1.59895472e-02, 1.51629388e-02, 1.57945918e-02,
  7.19896961e-03, 3.68691534e-02, 3.89865128e-02, 2.47681307e-02,
  4.02032666e-03, 3.53732806e-02, 1.44546042e-02, 2.69098301e-02,
  2.18119372e-02, 1.25091434e-02, 2.24519028e-02, 8.26129050e-03,
  1.02274044e-03, 6.73031326e-03, 7.75205211e-03, 2.29589140e-02,
  1.43217752e-02,-7.62360673e-11, 2.78923825e-02, 1.17064434e-02,
  4.75811649e-03, 2.02744756e-03, 1.55229293e-02, 1.66746367e-02,
  2.91783658e-02, 1.29336959e-02, 1.11412120e-02, 1.65485528e-02]",0.0011311327559379379,0.001065296807928397,0.23163147177631044,54,optimal
2018-03-29,"[ 2.93055779e-02, 1.57976809e-02, 2.69600917e-02, 8.74076521e-03,
  2.42115519e-07, 1.18359051e-02, 1.77711151e-02, 1.27011757e-03,
  2.16058115e-02,-4.95120970e-08, 5.57673403e-03,-3.51626751e-08,
  4.88640865e-02, 2.33826068e-02,-1.43402929e-08, 2.61203151e-02,
  2.82874804e-02, 4.84143505e-02, 1.60766845e-02, 2.69834593e-02,
 -1.18933604e-07, 2.16165663e-02, 5.56962135e-03, 1.77699611e-03,
  1.12604624e-02, 1.11384899e-02, 1.76306666e-02, 4.99998505e-02,
  2.37088451e-02, 7.30146921e-03,-9.08041879e-08, 1.86809666e-03,
  7.19849179e-03, 3.68690425e-02, 3.89866675e-02, 2.32957973e-02,
  4.02177457e-03, 3.53733734e-02, 6.37010511e-03, 1.92677582e-02,
  2.04519356e-02, 1.25090902e-02, 3.66602761e-02, 8.26098924e-03,
  1.44509577e-02, 6.73060659e-03, 5.09615372e-03, 2.29590399e-02,
  5.78565389e-03,-1.10562789e-07, 3.27396638e-02, 2.06187303e-02,
  4.75812426e-03, 8.10249405e-07, 2.47448246e-02, 2.72934076e-02,
  2.03454212e-02, 8.76503641e-03, 1.11417662e-02, 3.64408404e-02]",0.0012689995366489014,0.0012098341326322265,0.34268751720360163,52,optimal
2018-06-29,"[ 4.64321646e-02, 2.56582516e-02, 2.97799713e-02, 9.27249607e-04,
  5.65090278e-03, 1.18362963e-02, 1.77708527e-02, 1.21131316e-07,
  2.16055927e-02,-1.90778743e-07, 1.27948757e-03, 8.31012371e-03,
  1.32994058e-02, 2.44100285e-02,-5.88328518e-08, 4.43805129e-02,
  4.16458053e-02, 5.00007061e-02, 1.60767220e-02, 2.69838276e-02,
  5.49793318e-03, 3.44263584e-02, 1.36280183e-02, 9.81202213e-03,
  1.77626894e-02, 1.11381416e-02, 1.76305121e-02, 1.88119746e-02,
  2.37087763e-02, 7.30192641e-03,-2.65792108e-07, 1.52603122e-02,
  2.33445387e-02, 3.68688826e-02, 2.63018997e-02, 2.32959212e-02,
  4.02141516e-03, 2.82701394e-02,-3.96798621e-07, 1.92674655e-02,
  1.99500279e-02, 1.25086601e-02, 4.47247800e-02, 8.26067728e-03,
  1.44508832e-02, 6.73133339e-03, 5.09586739e-03, 2.11664125e-02,
  5.78598090e-03, 1.08805960e-02, 2.46078327e-02, 2.06190187e-02,
  4.75844706e-03, 5.43811499e-03, 2.47443687e-02,-2.32412893e-07,
  1.19363934e-07, 5.41511263e-03, 1.71998626e-02, 2.52661008e-02]",0.001132141543843952,0.0011001026175788604,0.3577711426605355,52,optimal
2018-09-28,"[ 4.64325636e-02, 3.15519769e-02, 2.97807457e-02, 1.43803286e-03,
  5.65083431e-03, 1.00814295e-02, 1.77710372e-02,-8.80105686e-08,
  1.45871538e-02,-6.75412210e-08, 1.27990695e-03, 8.31017486e-03,
  8.31094419e-03, 2.44100698e-02, 4.62090571e-08, 4.43800754e-02,
  3.60144415e-02, 4.95384605e-02, 1.60768422e-02, 2.04837110e-02,
  2.19570859e-07, 3.44266096e-02, 1.40587885e-02, 2.86895930e-02,
  1.77630248e-02, 6.70561061e-03, 1.76307196e-02, 1.88124031e-02,
  2.37088644e-02, 7.30289272e-03, 1.05604543e-08, 1.52606137e-02,
  2.33447170e-02, 3.68685700e-02, 2.43742028e-02, 3.19959482e-02,
  4.72587123e-03, 2.82706509e-02,-1.96032796e-07, 1.63333833e-02,
  2.26708795e-02, 1.25086189e-02, 4.47248784e-02, 5.35783671e-03,
  1.44508765e-02, 6.73136563e-03, 5.09588636e-03, 1.05561414e-02,
  7.98418985e-03, 2.54024333e-02, 2.20182124e-02, 2.19371112e-02,
  9.09655886e-08, 6.64494118e-03, 2.47441573e-02, 5.03360677e-03,
 -9.68117226e-08, 6.69640563e-03, 1.63054945e-02, 2.47661793e-02]",0.0012391180854930879,0.001149391064454306,0.12680879228871103,52,optimal
2018-12-31,"[ 2.88681496e-02, 3.15523621e-02, 4.22944284e-02, 5.03288097e-07,
  5.65107011e-03, 2.92153923e-03, 2.11248833e-02, 5.74188163e-07,
  1.45871007e-02, 1.21189800e-07, 1.28030851e-03, 1.91361724e-02,
  1.89431181e-02, 2.44104547e-02, 1.46851650e-07, 3.01799889e-02,
  3.60146296e-02, 4.95389704e-02, 1.22175534e-02, 2.04836389e-02,
  2.82150639e-03, 2.63918017e-02, 1.56009534e-02, 2.86896432e-02,
  2.56136518e-02, 6.70558342e-03, 2.99868670e-02, 1.62880571e-02,
  2.37094140e-02, 7.30320379e-03, 6.61187370e-04, 1.52609140e-02,
  2.33452137e-02, 3.68688043e-02, 2.39459632e-02, 3.19956597e-02,
  9.40562325e-04, 2.82708711e-02,-9.08202981e-08, 1.63331055e-02,
  2.26698133e-02, 1.25087296e-02, 3.77717760e-02, 5.35776497e-03,
  1.44503258e-02, 1.59873334e-02, 5.09563706e-03, 1.05561428e-02,
  1.82005804e-02, 2.54022426e-02, 2.20180960e-02, 2.19376522e-02,
 -4.70352480e-08, 1.04519827e-02, 6.79390477e-03, 8.05164688e-03,
  2.79942318e-03, 1.42327473e-02, 1.63052187e-02, 9.47044533e-03]",0.0012936269681135919,0.00126715616482383,0.1983927604106258,52,optimal
2019-03-29,"[ 2.88676539e-02, 1.18486035e-02, 4.08515631e-02, 3.07253008e-07,
  5.65072484e-03, 2.92120514e-03, 2.11247314e-02, 6.11256132e-07,
  7.03036511e-08,-6.38169924e-09, 2.59675453e-03, 1.91362920e-02,
  1.89429431e-02, 2.44108062e-02, 2.69410845e-03, 3.01803847e-02,
  4.63139712e-02, 4.27726082e-02, 1.22177361e-02, 2.04837359e-02,
 -4.81735967e-07, 2.38203005e-02, 6.30704702e-03, 3.81640403e-03,
  4.31917941e-02, 6.70558729e-03, 2.70072409e-02, 1.62884594e-02,
  2.37092604e-02, 7.30312939e-03, 6.61149295e-04, 1.97997155e-02,
  2.33457327e-02, 3.68685949e-02, 1.36164101e-03, 3.19953370e-02,
  2.22133481e-02, 2.68861784e-02, 1.74737208e-08, 2.89729008e-02,
  2.26694667e-02, 1.25089857e-02, 3.77719674e-02, 5.35809197e-03,
  1.95788096e-02, 1.83184594e-02, 3.64518634e-02, 1.85893874e-02,
  3.37590616e-02, 1.69753852e-02, 1.87084290e-02, 7.78258415e-03,
 -3.56225249e-08, 4.25567326e-03, 6.79372507e-03, 8.08224451e-03,
  5.29120213e-03, 2.00610236e-02, 1.63052319e-02, 9.47028229e-03]",0.001493790839973807,0.001316309375506674,0.2822010124377453,52,optimal
2019-06-28,"[ 2.88676528e-02, 1.41215443e-02, 4.61142234e-02, 2.95812161e-03,
  5.65041441e-03, 2.92088368e-03, 2.11246536e-02, 3.88801080e-07,
  2.66057409e-07, 3.81262831e-07, 3.42226032e-03, 1.91362502e-02,
  1.19920049e-02, 2.44111257e-02, 2.69377931e-03, 2.61795378e-02,
  4.63146959e-02, 2.81901988e-02, 3.90421633e-03, 2.04836824e-02,
  2.51246840e-03, 1.17313583e-02, 6.30792048e-03, 3.81642340e-03,
  4.04938303e-02, 6.70573503e-03, 1.01655094e-02, 2.10563381e-02,
  3.48692796e-02, 2.58143898e-02, 6.61738256e-04, 1.97999597e-02,
  1.57689362e-02, 3.68689007e-02, 2.08095353e-02, 1.98952347e-02,
  2.17845611e-02, 1.87578533e-02, 4.18155811e-03, 2.63474547e-02,
  2.26707622e-02, 1.25096734e-02, 3.77725327e-02, 5.35848604e-03,
  1.95785165e-02, 1.83196087e-02, 5.00004183e-02, 1.85893049e-02,
  3.37589847e-02, 1.37391356e-02, 1.87091818e-02, 5.07795233e-03,
  3.15600864e-03,-9.30645271e-07, 6.79312059e-03, 3.19740436e-02,
  5.29239878e-03, 2.00613729e-02, 1.55413285e-02, 4.26283023e-03]",0.00147196624517765,0.0012698945854872135,0.2250141248372284,55,optimal
2019-09-30,"[ 3.57781537e-02, 9.21750235e-03, 4.61150261e-02,-8.79793951e-08,
  9.93530182e-03, 2.92141883e-03, 1.72013831e-02, 4.96436720e-07,
  1.46417109e-08, 4.07886396e-07, 3.42188616e-03, 1.91364268e-02,
  1.19923734e-02, 1.26820998e-02, 1.06865154e-02, 2.61793371e-02,
  4.63146276e-02, 3.24074467e-02, 9.05885660e-03, 2.04834071e-02,
  2.51337702e-03, 1.17312470e-02, 3.66690253e-03, 3.81598379e-03,
  3.80960479e-02, 6.70544575e-03, 1.50243049e-02, 1.89672255e-02,
  3.04026485e-02, 3.62858633e-02, 1.31483211e-02, 1.98002793e-02,
  1.00340850e-02, 2.94558481e-02, 1.11936431e-02, 7.10606555e-03,
  1.34284457e-02, 5.67376934e-03, 4.18182586e-03, 1.77840861e-02,
  2.26705055e-02, 1.25094350e-02, 4.70818253e-02, 1.70550404e-02,
  1.74229361e-02, 3.46261134e-02, 5.00002328e-02, 1.85888006e-02,
  3.37583705e-02, 1.37389092e-02, 1.87093482e-02,-1.40849810e-07,
  1.21475135e-02,-5.05074413e-07, 1.81793446e-02, 3.19741037e-02,
  1.48780348e-02, 1.42735657e-02, 5.57558768e-03, 4.26297317e-03]",0.0014255595885454189,0.0012026047376377765,0.24731377137031207,54,optimal
2019-12-31,"[ 3.57782068e-02, 9.21747301e-03, 4.61149081e-02, 4.08632452e-03,
  9.93538991e-03, 2.92152199e-03, 1.72013420e-02, 1.91679279e-07,
 -2.84087910e-09, 1.75849482e-02, 3.42150048e-03, 1.91360398e-02,
  2.07402947e-02, 1.26818482e-02, 1.71428542e-02, 1.66406377e-02,
  4.63151050e-02, 3.24075767e-02, 9.05848392e-03, 2.04835532e-02,
  2.51271533e-03, 1.76411980e-02, 8.90757816e-03, 3.81591807e-03,
  3.80957558e-02, 6.70501202e-03, 1.50239011e-02, 1.89675197e-02,
  1.29474053e-02, 3.62853474e-02, 1.31471721e-02, 1.98000581e-02,
  1.00345040e-02, 2.47150493e-02, 5.90306515e-03, 5.18283090e-04,
  1.48325347e-02, 1.40573584e-03, 4.18166855e-03, 1.32511693e-02,
  1.02795232e-02, 1.25090434e-02, 4.70813093e-02, 8.08737757e-03,
  9.37978612e-03, 3.09917438e-02, 5.00001378e-02, 2.00253473e-02,
  2.94380312e-02, 7.95559465e-03, 2.21798145e-02,-1.25842701e-07,
  3.22097753e-02,-9.68632756e-08, 4.36884956e-02, 3.19736309e-02,
  1.48783765e-02, 4.00667748e-03, 5.57579068e-03, 1.01799840e-02]",0.0014165029082902668,0.0010602142962347098,0.21165608623088356,55,optimal
2020-03-31,"[ 4.20393463e-02, 9.21801027e-03, 5.00002608e-02, 2.26785610e-02,
  5.71699430e-03, 2.92171928e-03, 1.72013921e-02, 2.80649195e-03,
 -5.34472566e-08, 1.75847852e-02, 1.16057244e-02, 1.91362018e-02,
  2.17137116e-02, 1.97736803e-02, 1.71433345e-02, 5.80073225e-07,
  2.79137382e-02,-4.99861377e-07, 9.05897748e-03, 2.45872172e-02,
  7.11945424e-08, 1.76412103e-02, 4.97471160e-03, 2.33149559e-02,
  3.80958654e-02, 2.82723159e-07, 1.50240950e-02, 4.23400192e-02,
  1.22486652e-02, 3.16230055e-02, 1.67396671e-02, 1.98006707e-02,
  1.93646244e-07, 1.19302336e-02, 1.69129192e-02, 1.09283636e-07,
  1.76099293e-02, 2.15553507e-07, 3.29642492e-02, 2.58947818e-02,
  1.22260602e-07, 3.73106803e-02, 3.83778294e-02, 4.21516306e-02,
  1.31744119e-03, 3.96369992e-07, 4.99999520e-02, 2.50909210e-02,
  3.54447713e-02, 7.95486195e-03, 2.52832508e-03, 8.00104049e-08,
  3.22097506e-02, 3.46589172e-03, 4.36887517e-02, 2.14499521e-07,
  1.97293264e-02, 1.34280418e-07, 7.39877668e-03, 5.11412550e-03]",0.0015349939216748353,0.0014786387944744782,0.4673141552923161,47,optimal
2020-06-30,"[ 3.28074152e-02, 9.21820403e-03, 5.00001392e-02, 1.29055387e-02,
  5.71702671e-03, 2.92175577e-03, 2.13054227e-02, 1.21911068e-02,
  3.39476391e-02,-1.04691911e-07, 1.16058982e-02, 1.95839191e-02,
  3.10312067e-03, 1.97737007e-02, 1.71432230e-02, 6.55327776e-07,
  2.17465251e-02, 2.25432109e-07, 9.05908902e-03, 5.00002558e-02,
  1.83848834e-07, 1.76413415e-02, 1.64010017e-02, 1.20524779e-02,
  2.65830159e-03, 1.28754966e-07, 1.04771945e-02, 3.62768672e-02,
  6.05503748e-03, 6.71985832e-03, 2.88548411e-02, 2.63386275e-02,
  1.53022141e-02, 6.93364015e-03, 1.69126598e-02, 2.70101309e-02,
  1.76093333e-02, 3.39082477e-02, 3.04491666e-02, 1.24236355e-02,
  4.09770058e-08, 4.99994569e-02, 3.70844094e-02,-1.95483241e-07,
 -2.00952000e-07, 3.07666557e-07, 4.99998118e-02, 1.35318506e-02,
  4.77197033e-02, 7.10979462e-03, 2.80527852e-02, 1.18617066e-07,
  2.19676740e-02, 1.56526832e-07, 4.36888127e-02,-2.59443959e-07,
  3.63914563e-02, 2.31372415e-08, 7.39879526e-03,-1.76944997e-07]",0.0021013221373888816,0.001682449016523244,0.4934972352568283,46,optimal
